code,pinyin_abbr,name,type,pinyin_full
000961,THHS300ETFLJA,天弘沪深300ETF联接A,指数型-股票,TIANHONGHUSHEN300ETFLIANJIEA
001156,SWLXXNYQCZTLHPZHHA,申万菱信新能源汽车主题灵活配置混合A,混合型-灵活,SHENWANLINGXINXINNENGYUANQICHEZHUTILINGHUOPEIZHIHUNHEA
001938,ZOSDXFGPA,中欧时代先锋股票A,股票型,ZHONGOUSHIDAIXIANFENGGUPIAOA
003095,ZOYLJKHHA,中欧医疗健康混合A,混合型-偏股,ZHONGOUYILIAOJIANKANGHUNHEA
005827,YFDLCJXHH,易方达蓝筹精选混合,混合型-偏股,YIFANGDALANCHOUJINGXUANHUNHE
005911,GFSQSJHHA,广发双擎升级混合A,混合型-偏股,GUANGFASHUANGQINGSHENGJIHUNHEA
012414,ZSZZBJZSLOFC,招商中证白酒指数(LOF)C,指数型-股票,ZHAOSHANGZHONGZHENGBAIJIUZHISHULOFC
050011,BSXYZQAB,博时信用债券A/B,债券型-混合二级,BOSHIXINYONGZHAIQUANAB
110011,YFDYZJXHHQDII,易方达优质精选混合(QDII),QDII-混合偏股,YIFANGDAYOUZHIJINGXUANHUNHEQDII
110017,YFDZQHBZQA,易方达增强回报债券A,债券型-混合一级,YIFANGDAZENGQIANGHUIBAOZHAIQUANA
159915,CYBETFYFD,创业板ETF易方达,指数型-股票,CHUANGYEBANETFYIFANGDA
159919,HS300ETFJS,沪深300ETF嘉实,指数型-股票,HUSHEN300ETFJIASHI
161725,ZSZZBJZSLOFA,招商中证白酒指数(LOF)A,指数型-股票,ZHAOSHANGZHONGZHENGBAIJIUZHISHULOFA
163406,XQHRHHA,兴全合润混合A,混合型-偏股,XINGQUANHERUNHUNHEA
217022,ZSCYZQA,招商产业债券A,债券型-混合一级,ZHAOSHANGCHANYEZHAIQUANA
320007,NACZHHA,诺安成长混合A,混合型-偏股,NUOANCHENGZHANGHUNHEA
510050,SZ50ETFHX,上证50ETF华夏,指数型-股票,SHANGZHENG50ETFHUAXIA
510300,HS300ETFHTBR,沪深300ETF华泰柏瑞,指数型-股票,HUSHEN300ETFHUATAIBAIRUI
510500,ZZ500ETFNF,中证500ETF南方,指数型-股票,ZHONGZHENG500ETFNANFANG
512100,ZZ1000ETFNF,中证1000ETF南方,指数型-股票,ZHONGZHENG1000ETFNANFANG
